Bear	Con gấu
Bird	Con chim
Cat	Con mèo
Chicken	Con gà
Chimpanzee	con hắc tinh tinh
Cow	Con bò
Dog	Con chó
Dolphin	cá heo
Donkey	Con lừa
Eel	lươn
Elephant	Con voi
Fish	Con cá
Fox	con cáo
Giraffe	con hươu cao cổ
Goat	Con dê
Hippopotamus	con hà mã
Horse	Con ngựa
Insect	Côn trùng
Jaguar	con báo đốm
Lion	Sư tử
Monkey	Con khỉ
Mouse	Con chuột
Ox	Con bò đực
Penguin	chim cánh cụt
Pig	Con lợn/heo
Porcupine	con nhím
Rabbit	Con thỏ
Raccoon	con gấu mèo
Rhinoceros	con tê giác
Shark	cá mập
Sheep	Con cừu
Squirrel	con sóc
Swordfish	cá kiếm
Tiger	Con hổ
Turtle	rùa
Walrus	hải mã
Whale	cá voi
Alder	Cây tổng quán sủi
Apple	Cây táo
Ash	Cây tần bì
Beech	Cây sồi
Birch	Cây gỗ bu lô
Bloom	Nở hoa
Bluebell	Hoa chuông xanh
Bracken	Cây dương xỉ diều hâu
Branch	Cành cây
Bud	Chồi, búp cây
The	Bó hoa
Bush	Bụi rậm
Buttercup	Hoa mao lương vàng
Cactus	Cây xương rồng
Carnation	Hoa cẩm chướng
Cedar	Cây tuyết tùng
Cherry	Cây anh đào
Chestnut	Cây dẻ
Chrysanthemum	Hoa cúc
Coconut	Cây dừa
Corn	Cây ngô
Crocus	Hoa nghệ tây
Daffodil	Hoa thủy tiên vàng
Dahlia	Hoa thược dược
Daisy	Hoa cúc
Dandelion	Hoa bồ công anh
Elm	Cây đu
Fern	Cây dương xỉ
Fig	Cây sung
Fir	Cây Linh sam
Flower	Hoa
Forget-me-not	Hoa lưu ly
Foxglove	Hoa mao địa hoàng
Geranium	Hoa phong lữ
Grass	trồng cỏ
Grass	Cỏ
Grow	Mọc lên, lớn lên, phát triển
Hawthorn	Cây táo gai
Hazel	Cây phỉ
Heather	Cây thạch nam
Herb	Thảo mộc
Holly	Cây nhựa ruồi
Horse	Cây dẻ ngựa
Ivy	Cây thường xuân
Leaf	Lá cây
Lily	Hoa loa kèn
Lime	Cây đoan
Maple	Cây thích
Moss	Rêu
Mushroom	Nấm
Nettle	Cây tầm ma
Oak	Cây sồi
Olive	Cây ô liu
Orchid	Hoa Lan
Pansy	Hoa păng xê
Pear	Cây lê
Pine	Cây thông
Plane	Cây tiêu huyền
Plum	Cây mận
Poplar	Cây bạch dương
Poppy	Hoa anh túc
Primrose	Hoa anh thảo
Root	Rễ cây
Rose	Hoa hồng
Seed	Hạt giống, hạt
Shrub	Cây bụi
Snowdrop	Hoa giọt tuyết
Sycamore	Cây sung dâu
Thorn	Gai
Tree	Cây cối
Trunk	Thân cây
Tulip	Hoa tulip
Waterlily	Hoa súng
Weeping	Cây liễu rủ
Wheat	Lúa mì
Willow	Cây liễu
Wood	Gỗ
Yew	Cây thủy tùng
Cherry	Quả anh đào
Coconut	Quả dừa
Juice	Nước quả, nước ép
Juicy	Mọng nước
Lemon	Quả chanh vàng
Lime	Quả chanh xanh
Orange	Quả cam
Peel	Vỏ ngoài của trái cây
Ripe	Chín (trái cây)
Sugar	Mía
cherry	nh đào
Basil	cây húng quế
Bay	lá nguyệt quế
Bean	Đậu (quả)
Beet	/biːt/ củ dền
Bell	Ớt chuông
Bitter	/ˌbɪt.ə hɜːb/ Rau Đắng
avocado	Bơ 
Pomelo	Bưởi
Cabbage	bắp cải
Orange	cam
Carrot	Cà rốt
Celery	Cần tây
lemon	Chanh vàng
lime	Chanh xanh
Chili	Ớt
rambutan	Chôm chôm
Banana	chuối
Cilantro	ngò rí
Cilantro	/sɪˈlæn.trəʊ/ Ngò Gai
Cilantro	/sɪˈlæn.trəʊ/ Ngò Mùi
Coconut	dừa
Corn	Ngô
Cucumber	Dưa chuột
Peach	Đào
red	đậu đỏ
soybean	Đậu nành
strawberry	Dâu tây
mung	Đậu xanh
Dill	cây thì là
Dứa	pineapple
Dưa	watermelon
Eggplant	Cà tím
Fish	/ˈfɪʃ mɪnt/ Diếp Cá
Garlic	Tỏi
Ginger	Gừng
Green	hành lá
Marrow	/ˈmærəʊ/ Bí xanh
Me	tamarind
Mít	jackfruit
Mơ	apricot
Mushroom	Nấm
Mustard	/ˈmʌstəd liːvz/ Cải Xanh
Nhãn	longan
Nho	Grape
Ổi	guava
Onion	Hành tây
Papaya	đu đủ
Passion	chanh dây
Pea	Đậu (hạt)
Pennywort	/ˈpen.i.wɜːt/ Rau Má
Pepper	/ˈpepə ˈeldə(r)/ Rau càng Cua
Pepper	/ˈpepə(r)/ ớt chuông
Peppermint	/ˈpepəmɪnt/ Húng Cây
Potato	Khoai tây
Pumpkin	Bí ngô
Rice	/ˈraɪs ˌpæd.i/ Ngò ôm
Rosemary	cây hương thảo
Sapôchê	sapota
Spearmint	/ˈspɪəmɪnt/ Húng Lủi
apple	Táo
Thai	/taɪ ˈbæz.əl/ Húng Quế
Tomato	Cà chua
Turmeric	nghệ
Lychee	Vải
Vietnamese	/ˌvjet.nəˈmiːz bɑːm/ Kinh Giới
Vietnamese	/ˌvjet.nəˈmiːz ˌkɒr.iˈæn.dər/ Rau Răm
Water	/ˈwɔːtə(r) ˈspɪnɪtʃ/ Rau Muống
Watercress	/ˈwɔːtəkres/ Xà Lách Son
mango	Xoài
Yam	/jæm/ khoai mỡ
A	một ngôi làng
A	Đường làng
Agriculture	Nông nghiệp
An	một khu vực hẻo lánh
Bay	Vịnh
Boat	Con đò
Buffalo	Con trâu
Canal	Kênh, mương
Cloud	Mây
Coast	Bờ biển
Cottage	Mái nhà tranh
Desert	Sa mạc
Farming	Làm ruộng
Fields	Cánh đồng
Fish	 Ao cá
Folk	Trò chơi dân gian
Forest	Rừng
Highland	Cao nguyên
Hill	Đồi
Horizon	Đường chân trời
Island	Hòn đảo
Lake	Hồ
Land	Đất liền
Mountain	Núi
Ocean	Đại dương
Peace	yên bình
quiet	yên tĩnh
Peaceful	Yên bình
Port	Cảng
River	Con sông
Sand	Cát
Scenery	Phong cảnh, cảnh vật
